"Órgão","Sigla","Unidade","Quantidade"
"SEE","SEE/SRE Ubá Esc181544","Escola Estadual Professor Ormindo de Souza Lima","12"
"SEE","SEE/SRE Ubá Esc181544S","Escola Estadual Professor Ormindo de Souza Lima - Secretaria","1"
"SEE","SEE/SREB Esc212601","Escola Estadual Professor Osvaldo Franco","16"
"SEE","SEE/SREB Esc212601S","Escola Estadual Professor Osvaldo Franco - Secretaria","2"
"SEE","SEE/SRE TOtoni Esc147958","Escola Estadual Professor Patrício Ferreira Gomes","60"
"SEE","SEE/SRE TOtoni Esc147958S","Escola Estadual Professor Patrício Ferreira Gomes - Secretaria","5"
"SEE","SEE/SRE Guanhães Esc44997","Escola Estadual Professor Patricio Paes de Carvalho","16"
"SEE","SEE/SRE Guanhães Esc44997S","Escola Estadual Professor Patrício Paes de Carvalho - Secretaria","16"
"SEE","SEE/SREB Esc326780","Escola Estadual Professor Paulo Freire","26"
"SEE","SEE/SRE Pirapora Esc365270","Escola Estadual Professor Paulo Freire","9"
"SEE","SEE/SRE Uberlândia Esc327956","Escola Estadual Professor Paulo Freire","10"
"SEE","SEE/SRE GValadares Esc43184","Escola Estadual Professor Paulo Freire","17"
"SEE","SEE/SREC Esc310212","Escola Estadual Professor Paulo Freire","32"
"SEE","SEE/SREC Esc310212S","Escola Estadual Professor Paulo Freire - Secretaria","21"
"SEE","SEE/SRE Uberlândia Esc327956S","Escola Estadual Professor Paulo Freire - Secretaria","28"
"SEE","SEE/SRE Pirapora Esc365270S","Escola Estadual Professor Paulo Freire - Secretaria","5"
"SEE","SEE/SRE GValadares Esc43184S","Escola Estadual Professor Paulo Freire - Secretaria","26"
"SEE","SEE/SREB Esc326780S","Escola Estadual Professor Paulo Freire - Secretaria","12"
"SEE","SEE/SREA Esc1589","Escola Estadual Professor Pedro Aleixo","15"
"SEE","SEE/SREA Esc1589S","Escola Estadual Professor Pedro Aleixo - Secretaria","10"
"SEE","SEE/SRE CFabriciano Esc190888","Escola Estadual Professor Pedro Calmon","74"
"SEE","SEE/SRE CFabriciano Esc190888S","Escola Estadual Professor Pedro Calmon - Secretaria","56"
"SEE","SEE/SRE PoçosCaldas Esc124079","Escola Estadual Professor Pedro Saturnino de Magalhães","39"
"SEE","SEE/SRE PoçosCaldas Esc124079S","Escola Estadual Professor Pedro Saturnino de Magalhães - Secretaria","1"
"SEE","SEE/SRE ParaMinas Esc35009","Escola Estadual Professor Pereira da Costa","37"
"SEE","SEE/SRE Divinópolis Esc203360","Escola Estadual Professor Pinheiro Campos","22"
"SEE","SEE/SRE Divinópolis Esc203360S","Escola Estadual Professor Pinheiro Campos - Secretaria","2"
"SEE","SEE/SRE MClaros Esc81264","Escola Estadual Professor Plínio Ribeiro","42"
"SEE","SEE/SRE MClaros Esc81264S","Escola Estadual Professor Plínio Ribeiro - Secretaria","6"
"SEE","SEE/SRE Leopoldina Esc97403","Escola Estadual Professor Quaresma","10"
"SEE","SEE/SRE Leopoldina Esc97403S","Escola Estadual Professor Quaresma - Secretaria","6"
"SEE","SEE/SRE Araçuaí Esc185167","Escola Estadual Professor Querubim Cirino de Matos","29"
"SEE","SEE/SRE Araçuaí Esc185167S","Escola Estadual Professor Querubim Cirino de Matos - Secretaria","24"
"SEE","SEE/SRE JuizdeFora Esc68837","Escola Estadual Professor Quesnel","58"
"SEE","SEE/SRE Curvelo Esc24767","Escola Estadual Professor Raimundo da Silva Machado","14"
"SEE","SEE/SRE Curvelo Esc24767S","Escola Estadual Professor Raimundo da Silva Machado - Secretaria","14"
"SEE","SEE/SRE Januária Esc63142","Escola Estadual Professor Raul Reginaldo","3"
"SEE","SEE/SRE Januária Esc63142S","Escola Estadual Professor Raul Reginaldo - Secretaria","4"
"SEE","SEE/SREB Esc330647","Escola Estadual Professor Raymundo Candido","22"
"SEE","SEE/SREB Esc330647S","Escola Estadual Professor Raymundo Candido - Secretaria","12"
"SEE","SEE/SRE PonteNova Esc129071","Escola Estadual Professor Raymundo Martiniano Ferreira","8"
"SEE","SEE/SRE PonteNova Esc129071S","Escola Estadual Professor Raymundo Martiniano Ferreira - Secretaria","13"
"SEE","SEE/SRE PatosMinas Esc360813","Escola Estadual Professor René de Deus Vieira","12"
"SEE","SEE/SRE PatosMinas Esc360813S","Escola Estadual Professor René de Deus Vieira - Secretaria","1"
"SEE","SEE/SREB Esc2020","Escola Estadual Professor Ricardo de Souza Cruz","16"
"SEE","SEE/SREB Esc2020S","Escola Estadual Professor Ricardo de Souza Cruz - Secretaria","11"
"SEE","SEE/SRE SLagoas Esc141861","Escola Estadual Professor Rousset","25"
"SEE","SEE/SRE SLagoas Esc141861S","Escola Estadual Professor Rousset - Secretaria","41"
"SEE","SEE/SRE PoçosCaldas Esc124656","Escola Estadual Professor Salatiel de Almeida","45"
"SEE","SEE/SRE PoçosCaldas Esc124656S","Escola Estadual Professor Salatiel de Almeida - Secretaria","1"
"SEE","SEE/SRE Ubá Esc181277","Escola Estadual Professor Samuel João de Deus","39"
"SEE","SEE/SRE Ubá Esc181277S","Escola Estadual Professor Samuel João de Deus - Secretaria","1"
"SEE","SEE/SRE Araçuaí Esc146919","Escola Estadual Professor Sebastião Soares de Carvalho","6"
"SEE","SEE/SRE Araçuaí Esc146919S","Escola Estadual Professor Sebastião Soares de Carvalho - Secretaria","2"
"SEE","SEE/SRE Barbacena Esc15229","Escola Estadual Professor Soares Ferreira","63"
"SEE","SEE/SRE Ouro Preto Esc106321","Escola Estadual Professor Soares Ferreira","20"
"SEE","SEE/SRE Barbacena Esc15229S","Escola Estadual Professor Soares Ferreira - Secretaria","11"
"SEE","SEE/SRE Ouro Preto Esc106321S","Escola Estadual Professor Soares Ferreira - Secretaria","6"
"SEE","SEE/SRE Caxambu Esc172936","Escola Estadual Professor Souza Nilo","13"
"SEE","SEE/SRE Caxambu Esc172936S","Escola Estadual Professor Souza Nilo - Secretaria","14"
"SEE","SEE/SRE Ubá Esc180742","Escola Estadual Professor Souza Primo","22"
"SEE","SEE/SRE Ubá Esc180742S","Escola Estadual Professor Souza Primo - Secretaria","9"
"SEE","SEE/SRE Manhuaçu Esc74977","Escola Estadual Professor Sperber","14"
"SEE","SEE/SRE Manhuaçu Esc74977S","Escola Estadual Professor Sperber - Secretaria","1"
"SEE","SEE/SRE JuizdeFora Esc68845","Escola Estadual Professor Teodoro Coelho","43"
"SEE","SEE/SRE Ouro Preto Esc106127","Escola Estadual Professor Tibúrcio","30"
"SEE","SEE/SRE Ouro Preto Esc106127S","Escola Estadual Professor Tibúrcio - Secretaria","7"
"SEE","SEE/SRE Muriaé Esc96695","Escola Estadual Professor Tomás Aquino Pereira","20"
"SEE","SEE/SRE Muriaé Esc96695S","Escola Estadual Professor Tomás Aquino Pereira - Secretaria","17"
"SEE","SEE/SRE Passos Esc115223","Escola Estadual Professor Tonico Leite","17"
"SEE","SEE/SRE Passos Esc115223S","Escola Estadual Professor Tonico Leite - Secretaria","26"
"SEE","SEE/SRE Caxambu Esc356832","Escola Estadual Professor Túlio Bento","10"
"SEE","SEE/SRE Caxambu Esc356832S","Escola Estadual Professor Túlio Bento - Secretaria","11"
"SEE","SEE/SRE MClaros Esc80012","Escola Estadual Professor Tutu","26"
"SEE","SEE/SRE MClaros Esc80012S","Escola Estadual Professor Tutu - Secretaria","2"
"SEE","SEE/SRE Uberlândia Esc167053","Escola Estadual Professor Valentin","23"
"SEE","SEE/SRE Uberlândia Esc167053S","Escola Estadual Professor Valentin - Secretaria","29"
"SEE","SEE/SRE Varginha Esc170861","Escola Estadual Professor Viana","34"
"SEE","SEE/SRE Varginha Esc170861S","Escola Estadual Professor Viana - Secretaria","2"
"SEE","SEE/SRE MCarmelo Esc200654","Escola Estadual Professor Vicente Lopes Perez","11"
"SEE","SEE/SRE MCarmelo Esc200654S","Escola Estadual Professor Vicente Lopes Perez - Secretaria","25"
"SEE","SEE/SRE SLagoas Esc141135","Escola Estadual Professor Vitor Pinto","20"
"SEE","SEE/SRE SLagoas Esc141135S","Escola Estadual Professor Vitor Pinto - Secretaria","1"
"SEE","SEE/SRE Varginha Esc171786","Escola Estadual Professor Wanderley Ferreira de Rezende","11"
"SEE","SEE/SRE Varginha Esc171786S","Escola Estadual Professor Wanderley Ferreira de Rezende - Secretaria","9"
"SEE","SEE/SRE ParaMinas Esc233391","Escola Estadual Professor Wilson de Melo Guimarães","37"
"SEE","SEE/SRE ParaMinas Esc32344","Escola Estadual Professor Wilson Lopes do Couto","64"
"SEE","SEE/SRE PatosMinas Esc119024","Escola Estadual Professor Zama Maciel","18"
"SEE","SEE/SRE PatosMinas Esc119024S","Escola Estadual Professor Zama Maciel - Secretaria","5"
"SEE","SEE/SREA Esc10316","Escola Estadual Professor Zoroastro Vianna Passos","44"
"SEE","SEE/SREA Esc10316S","Escola Estadual Professor Zoroastro Vianna Passos - Secretaria","18"
"SEE","SEE/SRE Janaúba Esc80144","Escola Estadual Professora Adalgisa F Ribeiro","39"
"SEE","SEE/SRE Janaúba Esc80144S","Escola Estadual Professora Adalgisa F Ribeiro - Secretaria","20"
"SEE","SEE/SRE Nova Era Esc102784","Escola Estadual Professora Adelina da Conceição Mendes","32"
"SEE","SEE/SRE Nova Era Esc102784S","Escola Estadual Professora Adelina da Conceição Mendes - Secretaria","8"
"SEE","SEE/SREC Esc246425","Escola Estadual Professora Adir Andrade Albano","30"
"SEE","SEE/SREC Esc246425S","Escola Estadual Professora Adir Andrade Albano - Secretaria","8"
"SEE","SEE/SREA Esc342459","Escola Estadual Professora Alaíde Lisboa de Oliveira","24"
"SEE","SEE/SREA Esc342459S","Escola Estadual Professora Alaíde Lisboa de Oliveira - Secretaria","16"
"SEE","SEE/SRE Varginha Esc174017","Escola Estadual Professora Alda de Moura Carvalho","12"
"SEE","SEE/SRE Varginha Esc174017S","Escola Estadual Professora Alda de Moura Carvalho - Secretaria","2"
"SEE","SEE/SRE Uberlândia Esc167517","Escola Estadual Professora Alice Paes","23"
"SEE","SEE/SRE Uberlândia Esc167517S","Escola Estadual Professora Alice Paes - Secretaria","10"
"SEE","SEE/SRE Guanhães Esc213969","Escola Estadual Professora Almerinda Aguiar","35"
"SEE","SEE/SRE Guanhães Esc213969S","Escola Estadual Professora Almerinda Aguiar - Secretaria","3"
"SEE","SEE/SRE TOtoni Esc146331","Escola Estadual Professora Alneda de Matos Machado","35"
"SEE","SEE/SRE TOtoni Esc146331S","Escola Estadual Professora Alneda de Matos Machado - Secretaria","5"
"SEE","SEE/SREA Esc1660","Escola Estadual Professora Amélia de Castro Monteiro","9"
"SEE","SEE/SREA Esc1660S","Escola Estadual Professora Amélia de Castro Monteiro - Secretaria","9"
"SEE","SEE/SRE CFabriciano Esc191531","Escola Estadual Professora Ana Letro Staacks","14"
"SEE","SEE/SRE CFabriciano Esc191531S","Escola Estadual Professora Ana Letro Staacks - Secretaria","34"
"SEE","SEE/SRE Pirapora Esc81906","Escola Estadual Professora Anésia Gonçalves Longuinho","15"
"SEE","SEE/SRE Pirapora Esc81906S","Escola Estadual Professora Anésia Gonçalves Longuinho - Secretaria","10"
"SEE","SEE/SREA Esc10391","Escola Estadual Professora Angélica Maria de Almeida","16"
"SEE","SEE/SRE TOtoni Esc346179","Escola Estadual Professora Antônia Bernardo Rodrigues","15"
"SEE","SEE/SRE TOtoni Esc346179S","Escola Estadual Professora Antônia Bernardo Rodrigues - Secretaria","6"
"SEE","SEE/SRE Araçuaí Esc145998","Escola Estadual Professora Aparecida Dutra","7"
"SEE","SEE/SRE Araçuaí Esc145998S","Escola Estadual Professora Aparecida Dutra - Secretaria","17"
"SEE","SEE/SRE Varginha Esc175102","Escola Estadual Professora Aracy Miranda","71"
"SEE","SEE/SRE Varginha Esc175102S","Escola Estadual Professora Aracy Miranda - Secretaria","4"
"SEE","SEE/SRE Diamantina Esc23736","Escola Estadual Professora Ayna Torres","20"
"SEE","SEE/SRE Diamantina Esc23736S","Escola Estadual Professora Ayna Torres - Secretaria","48"
"SEE","SEE/SRE Varginha Esc239135S","Escola Estadual Professora Benedita Roquim - Secretaria","1"
"SEE","SEE/SREB Esc1741","Escola Estadual Professora Benvinda de Carvalho","41"
"SEE","SEE/SREB Esc1741S","Escola Estadual Professora Benvinda de Carvalho - Secretaria","14"
"SEE","SEE/SRE Uberaba Esc310166","Escola Estadual Professora Cecília Maria de Rezende Neves","19"
"SEE","SEE/SRE Uberaba Esc310166S","Escola Estadual Professora Cecília Maria de Rezende Neves - Secretaria","27"
"SEE","SEE/SRE Varginha Esc172375","Escola Estadual Professora Celina de Rezende Vilela","7"
"SEE","SEE/SRE Varginha Esc172375S","Escola Estadual Professora Celina de Rezende Vilela - Secretaria","9"
"SEE","SEE/SRE CFabriciano Esc190900","Escola Estadual Professora Celina Machado","37"
"SEE","SEE/SRE CFabriciano Esc190900S","Escola Estadual Professora Celina Machado - Secretaria","6"
"SEE","SEE/SRE Guanhães Esc342548","Escola Estadual Professora Civa Simoes Fonseca","22"
"SEE","SEE/SRE Guanhães Esc342548S","Escola Estadual Professora Civa Simões Fonseca - Secretaria","3"
"SEE","SEE/SRE Janaúba Esc81248","Escola Estadual Professora Clara Menezes Dias","22"
"SEE","SEE/SRE Janaúba Esc81248S","Escola Estadual Professora Clara Menezes Dias - Secretaria","42"
"SEE","SEE/SRE MClaros Esc326682","Escola Estadual Professora Cláudia Patrícia da Silva Veloso","27"
"SEE","SEE/SRE MClaros Esc326682S","Escola Estadual Professora Cláudia Patrícia da Silva Veloso - Secretaria","14"
"SEE","SEE/SRE PoçosCaldas Esc124826","Escola Estadual Professora Cleusa Lovato Caliari","36"
"SEE","SEE/SRE PoçosCaldas Esc124826S","Escola Estadual Professora Cleusa Lovato Caliari - Secretaria","1"
"SEE","SEE/SREB Esc8796","Escola Estadual Professora Conceição Hilário","12"
"SEE","SEE/SREB Esc8796S","Escola Estadual Professora Conceição Hilário - Secretaria","7"
"SEE","SEE/SRE Uberaba Esc159972","Escola Estadual Professora Corina de Oliveira","14"
"SEE","SEE/SRE Uberaba Esc159972S","Escola Estadual Professora Corina de Oliveira - Secretaria","45"
"SEE","SEE/SRE MClaros Esc81256","Escola Estadual Professora Cristina Guimarães","21"
"SEE","SEE/SRE MClaros Esc81256S","Escola Estadual Professora Cristina Guimarães - Secretaria","37"
"SEE","SEE/SRE Ouro Preto Esc338915","Escola Estadual Professora Daura de Carvalho Neto","18"
"SEE","SEE/SRE Ouro Preto Esc338915S","Escola Estadual Professora Daura de Carvalho Neto - Secretaria","5"
"SEE","SEE/SRE PousoAlegre Esc218138","Escola Estadual Professora Delorme de Avellar Muniz","30"
"SEE","SEE/SRE PousoAlegre Esc218138S","Escola Estadual Professora Delorme de Avellar Muniz - Secretaria","1"
"SEE","SEE/SRE Araçuaí Esc310271","Escola Estadual Professora Deys Lopes Jardim","16"
"SEE","SEE/SRE Araçuaí Esc310271S","Escola Estadual Professora Deys Lopes Jardim - Secretaria","15"
"SEE","SEE/SRE MClaros Esc81540","Escola Estadual Professora Dilma Quadros","17"
"SEE","SEE/SRE MClaros Esc81540S","Escola Estadual Professora Dilma Quadros - Secretaria","25"
"SEE","SEE/SRE Caratinga Esc213306","Escola Estadual Professora Dinalva Maria de Souza","5"
"SEE","SEE/SRE Caratinga Esc213306S","Escola Estadual Professora Dinalva Maria de Souza - Secretaria","24"
"SEE","SEE/SRE GValadares Esc44466","Escola Estadual Professora Dioguina Augusta Santana","10"
"SEE","SEE/SRE GValadares Esc44466S","Escola Estadual Professora Dioguina Augusta Santana - Secretaria","8"
"SEE","SEE/SRE Ituiutaba Escola338672","Escola Estadual Professora Dirce Maria de Oliveira","9"
"SEE","SEE/SRE Ituiutaba Esc338672S","Escola Estadual Professora Dirce Maria de Oliveira - Secretaria","16"
"SEE","SEE/SRE MClaros Esc79685","Escola Estadual Professora Diva Medeiros","21"
"SEE","SEE/SRE MClaros Esc79685S","Escola Estadual Professora Diva Medeiros - Secretaria","19"
"SEE","SEE/SRE Janaúba Esc218260","Escola Estadual Professora Diva Pinto","4"
"SEE","SEE/SRE Janaúba Esc218260S","Escola Estadual Professora Diva Pinto - Secretaria","23"
"SEE","SEE/SRE Araçuaí Esc218171","Escola Estadual Professora Dona Preta","6"
"SEE","SEE/SRE Araçuaí Esc218171S","Escola Estadual Professora Dona Preta - Secretaria","2"
"SEE","SEE/SRE MClaros Esc82716","Escola Estadual Professora Dora Barbosa","59"
"SEE","SEE/SRE MClaros Esc82716S","Escola Estadual Professora Dora Barbosa - Secretaria","5"
"SEE","SEE/SRE SLagoas Esc140465","Escola Estadual Professora Dora Silva","6"
"SEE","SEE/SRE SLagoas Esc140465S","Escola Estadual Professora Dora Silva - Secretaria","7"
"SEE","SEE/SRE MClaros Esc81809","Escola Estadual Professora Dulce Sarmento","20"
"SEE","SEE/SRE MClaros Esc81809S","Escola Estadual Professora Dulce Sarmento - Secretaria","54"
"SEE","SEE/SRE Diamantina Esc246344","Escola Estadual Professora Edite Gomes","23"
"SEE","SEE/SRE Diamantina Esc246344S","Escola Estadual Professora Edite Gomes - Secretaria","20"
"SEE","SEE/SRE GValadares Esc267228","Escola Estadual Professora Elge Renan Braga","10"
"SEE","SEE/SRE GValadares Esc267228S","Escola Estadual Professora Elge Renan Braga - Secretaria","5"
"SEE","SEE/SRE Pirapora Esc79693","Escola Estadual Professora Elisa Teixeira de Carvalho","15"
"SEE","SEE/SRE Pirapora Esc79693S","Escola Estadual Professora Elisa Teixeira de Carvalho - Secretaria","35"
"SEE","SEE/SRE MClaros Esc346101","Escola Estadual Professora Elizabete Pereira Soares","13"
"SEE","SEE/SRE MClaros Esc346101S","Escola Estadual Professora Elizabete Pereira Soares - Secretaria","8"
"SEE","SEE/SREB Esc231673","Escola Estadual Professora Elza Cardoso Rangel","16"
"SEE","SEE/SREB Esc231673S","Escola Estadual Professora Elza Cardoso Rangel - Secretaria","2"
"SEE","SEE/SRE CFabriciano Esc191299","Escola Estadual Professora Elza de Oliveira Lage","18"
"SEE","SEE/SRE CFabriciano Esc191299S","Escola Estadual Professora Elza de Oliveira Lage - Secretaria","19"
"SEE","SEE/SRE SLagoas Esc141933","Escola Estadual Professora Elza Moreira Lopes","17"
"SEE","SEE/SRE SLagoas Esc141933S","Escola Estadual Professora Elza Moreira Lopes - Secretaria","12"
"SEE","SEE/SRE Guanhães Esc44776","Escola Estadual Professora Ester Siqueira","22"
"SEE","SEE/SRE Guanhães Esc44776S","Escola Estadual Professora Ester Siqueira - Secretaria","13"
"SEE","SEE/SRE CFabriciano Esc191345","Escola Estadual Professora Eunice dos Santos Costa","15"
"SEE","SEE/SRE CFabriciano Esc191345S","Escola Estadual Professora Eunice dos Santos Costa - Secretaria","2"
"SEE","SEE/SRE MClaros Esc82635","Escola Estadual Professora Filomena Fialho","42"
"SEE","SEE/SRE MClaros Esc82635S","Escola Estadual Professora Filomena Fialho - Secretaria","3"
"SEE","SEE/SRE Diamantina Esc24562","Escola Estadual Professora Flora Brasileira Pires César","9"
"SEE","SEE/SRE Diamantina Esc24562S","Escola Estadual Professora Flora Brasileira Pires César - Secretaria","19"
"SEE","SEE/SREC Esc205","Escola Estadual Professora Francisca Malheiros","103"
"SEE","SEE/SREC Esc205S","Escola Estadual Professora Francisca Malheiros - Secretaria","28"
"SEE","SEE/SRE TOtoni Esc319082","Escola Estadual Professora Francisca Matos","21"
"SEE","SEE/SRE TOtoni Esc319082S","Escola Estadual Professora Francisca Matos - Secretaria","2"
"SEE","SEE/SRE Ubá Esc181382","Escola Estadual Professora Francisca Pereira Rodrigues","18"
"SEE","SEE/SRE Ubá Esc181382S","Escola Estadual Professora Francisca Pereira Rodrigues - Secretaria","4"
"SEE","SEE/SRE Diamantina Esc23817","Escola Estadual Professora Gabriela Neves","19"
"SEE","SEE/SRE Diamantina Esc23817S","Escola Estadual Professora Gabriela Neves - Secretaria","39"
"SEE","SEE/SRE Pirapora Esc346225","Escola Estadual Professora Geovanina Ferreira Dias","11"
"SEE","SEE/SRE Pirapora Esc346225S","Escola Estadual Professora Geovanina Ferreira Dias - Secretaria","3"
"SEE","SEE/SREB Esc9288","Escola Estadual Professora Geralda Eugênia da Silva","17"
"SEE","SEE/SREB Esc9288S","Escola Estadual Professora Geralda Eugênia da Silva - Secretaria","10"
"SEE","SEE/SRE Divinópolis Esc330841","Escola Estadual Professora Geralda Magela Leão de Melo","50"
"SEE","SEE/SRE Divinópolis Esc330841S","Escola Estadual Professora Geralda Magela Leão de Melo - Secretaria","4"
"SEE","SEE/SRE Diamantina Esc23302","Escola Estadual Professora Geralda Otoni Barbosa","20"
"SEE","SEE/SRE Diamantina Esc23302S","Escola Estadual Professora Geralda Otoni Barbosa - Secretaria","30"
"SEE","SEE/SRE PousoAlegre Esc56359","Escola Estadual Professora Geraldina Tosta","26"
"SEE","SEE/SRE PousoAlegre Esc56359S","Escola Estadual Professora Geraldina Tosta - Secretaria","4"
"SEE","SEE/SRE Divinópolis Esc305642","Escola Estadual Professora Gilka Drumond de Faria","16"
"SEE","SEE/SRE Divinópolis Esc305642S","Escola Estadual Professora Gilka Drumond de Faria - Secretaria","16"
"SEE","SEE/SRE CFabriciano Esc326445","Escola Estadual Professora Haydée de Souza Abreu","17"
"SEE","SEE/SRE CFabriciano Esc326445S","Escola Estadual Professora Haydée de Souza Abreu - Secretaria","20"
"SEE","SEE/SRE MClaros Esc81469","Escola Estadual Professora Helena Prates","24"
"SEE","SEE/SRE MClaros Esc81469S","Escola Estadual Professora Helena Prates - Secretaria","58"
"SEE","SEE/SRE Pirapora Esc81957","Escola Estadual Professora Heloísa Passos","21"
"SEE","SEE/SRE Pirapora Esc81957S","Escola Estadual Professora Heloísa Passos - Secretaria","4"
"SEE","SEE/SREA Esc342424","Escola Estadual Professora Henriqueta Lisboa","24"
"SEE","SEE/SREA Esc342424S","Escola Estadual Professora Henriqueta Lisboa - Secretaria","13"
"SEE","SEE/SRE Diamantina Esc23329","Escola Estadual Professora Hermínia Eponina da Silva","8"
"SEE","SEE/SRE Diamantina Esc23329S","Escola Estadual Professora Hermínia Eponina da Silva - Secretaria","21"
"SEE","SEE/SRE TOtoni Esc146323","Escola Estadual Professora Hermínia P de Almeida","21"
"SEE","SEE/SRE TOtoni Esc146323S","Escola Estadual Professora Hermínia P de Almeida - Secretaria","7"
"SEE","SEE/SRE Guanhães Esc42072","Escola Estadual Professora Heroina Torres","33"
"SEE","SEE/SRE Guanhães Esc42072S","Escola Estadual Professora Heroína Torres - Secretaria","20"
"SEE","SEE/SRE Januária Esc63479","Escola Estadual Professora Hilda Braga","4"
"SEE","SEE/SRE Januária Esc63479S","Escola Estadual Professora Hilda Braga - Secretaria","25"
"SEE","SEE/SRE CFabriciano Esc191566","Escola Estadual Professora Hilda de Araújo Osório Zauza","18"
"SEE","SEE/SRE CFabriciano Esc191566S","Escola Estadual Professora Hilda de Araújo Osório Zauza - Secretaria","16"
"SEE","SEE/SREC Esc2348","Escola Estadual Professora Inês Geralda de Oliveira","53"
"SEE","SEE/SREC Esc2348S","Escola Estadual Professora Inês Geralda de Oliveira - Secretaria","58"
"SEE","SEE/SRE SSParaíso Esc212431","Escola Estadual Professora Inês Miranda Almeida","24"
"SEE","SEE/SRE SSParaíso Esc212431S","Escola Estadual Professora Inês Miranda Almeida - Secretaria","1"
"SEE","SEE/SRE Diamantina Esc23825","Escola Estadual Professora Isabel Motta","48"
"SEE","SEE/SRE Diamantina Esc23825S","Escola Estadual Professora Isabel Motta - Secretaria","29"
"SEE","SEE/SRE Passos Esc346136","Escola Estadual Professora Izaura de Oliveira Vilela","9"
"SEE","SEE/SRE Passos Esc346136S","Escola Estadual Professora Izaura de Oliveira Vilela - Secretaria","9"
"SEE","SEE/SRE JuizdeFora Esc69981","Escola Estadual Professora Joana Cunha","23"
"SEE","SEE/SRE Janaúba Esc80217","Escola Estadual Professora Joana Porto","4"
"SEE","SEE/SRE Janaúba Esc80217S","Escola Estadual Professora Joana Porto - Secretaria","45"
"SEE","SEE/SRE GValadares Esc43516","Escola Estadual Professora Josefina Carmélia Reis","40"
"SEE","SEE/SRE GValadares Esc43516S","Escola Estadual Professora Josefina Carmélia Reis - Secretaria","7"
"SEE","SEE/SRE Passos Esc115398","Escola Estadual Professora Júlia Kubitschek","17"
"SEE","SEE/SRE Passos Esc115398S","Escola Estadual Professora Júlia Kubitschek - Secretaria","3"
"SEE","SEE/SRE Uberlândia Esc167304","Escola Estadual Professora Juvenília  Ferreira dos Santos","78"
"SEE","SEE/SRE Uberlândia Esc167304S","Escola Estadual Professora Juvenília Ferreira dos Santos - Secretaria","120"
"SEE","SEE/SRE Uberlândia Esc166782","Escola Estadual Professora Katy Belem","27"
"SEE","SEE/SRE Uberlândia Esc166782S","Escola Estadual Professora Katy Belem - Secretaria","39"
"SEE","SEE/SRE TOtoni Esc147338","Escola Estadual Professora Leonor Esteves Lima","33"
"SEE","SEE/SRE TOtoni Esc147338S","Escola Estadual Professora Leonor Esteves Lima - Secretaria","8"
"SEE","SEE/SRE Manhuaçu Esc75671","Escola Estadual Professora Levinda Alves da Silva","38"
"SEE","SEE/SRE Manhuaçu Esc75671S","Escola Estadual Professora Levinda Alves da Silva - Secretaria","13"
"SEE","SEE/SREB Esc8699","Escola Estadual Professora Lígia Maria de Magalhães","21"
"SEE","SEE/SREB Esc8699S","Escola Estadual Professora Lígia Maria de Magalhães - Secretaria","9"
"SEE","SEE/SRE Caratinga Esc20303","Escola Estadual Professora Lima de Lana e Caldeira","37"
"SEE","SEE/SRE Caratinga Esc20303S","Escola Estadual Professora Lima de Lana e Caldeira - Secretaria","10"
"SEE","SEE/SREB Esc7820","Escola Estadual Professora Lourdes Bernadete Silva","33"
"SEE","SEE/SREB Esc7820S","Escola Estadual Professora Lourdes Bernadete Silva - Secretaria","10"
"SEE","SEE/SRE Caxambu Esc173665","Escola Estadual Professora Lourdes Castilho de Freitas","9"
"SEE","SEE/SRE Caxambu Esc173665S","Escola Estadual Professora Lourdes Castilho de Freitas - Secretaria","6"
"SEE","SEE/SRE Nova Era Esc103241","Escola Estadual Professora Marciana Magalhães","29"
"SEE","SEE/SRE Nova Era Esc103241S","Escola Estadual Professora Marciana Magalhães - Secretaria","53"
"SEE","SEE/SRE Guanhães Esc330680","Escola Estadual Professora Margaret Barroso Pinto","21"
"SEE","SEE/SRE Guanhães Esc330680S","Escola Estadual Professora Margaret Barroso Pinto - Secretaria","9"
"SEE","SEE/SRE Curvelo Esc140686","Escola Estadual Professora Maria Amália Campos","12"
"SEE","SEE/SRE Curvelo Esc140686S","Escola Estadual Professora Maria Amália Campos - Secretaria","29"
"SEE","SEE/SREA Esc1821","Escola Estadual Professora Maria Amélia Guimarães","18"
"SEE","SEE/SREA Esc1821S","Escola Estadual Professora Maria Amélia Guimarães - Secretaria","9"
"SEE","SEE/SRE Diamantina Esc23604","Escola Estadual Professora Maria Amélia Ribeiro","21"
"SEE","SEE/SRE Diamantina Esc23604S","Escola Estadual Professora Maria Amélia Ribeiro - Secretaria","3"
"SEE","SEE/SRE CFabriciano Esc191116","Escola Estadual Professora Maria Antonieta","61"
"SEE","SEE/SRE CFabriciano Esc191116S","Escola Estadual Professora Maria Antonieta - Secretaria","2"
"SEE","SEE/SRE Caxambu Esc173487","Escola Estadual Professora Maria Antonieta Romano Salgado","7"
"SEE","SEE/SRE Caxambu Esc173487S","Escola Estadual Professora Maria Antonieta Romano Salgado - Secretaria","12"
"SEE","SEE/SRE Passos Esc339091","Escola Estadual Professora Maria Aparecida Costa de Resende","14"
"SEE","SEE/SRE Passos Esc339091S","Escola Estadual Professora Maria Aparecida Costa de Resende - Secretaria","14"
"SEE","SEE/SRE GValadares Esc43893","Escola Estadual Professora Maria Assunção","11"
